CA_county_ansi,tomato_farmland_area(acres),tomato_production(tonnes/acre),lstd_Jun,lstd_Jul,lstd_Aug,lstn_Jun,lstn_Jul,lstn_Aug,gpm_Jun,gpm_Jul,gpm_Aug,ndvi_Jun,ndvi_Jul,ndvi_Aug,ET,year
11,11507,46.319631528634744,32.32299999999999,34.8146,35.734199999999994,17.446399999999997,20.455199999999994,20.003400000000003,0.07486145454458892,0.0038806519005447626,0.001944883755641058,0.543,0.556,0.5486000000000002,4946.104302727622,2011
19,93967,54.19987868081348,30.29788732394367,34.059248826291096,34.61140845070422,12.666901408450704,17.254553990610322,17.219530516431938,0.04073189664632082,0.019296385324560107,0.005115439335349947,0.3875586854460093,0.42441314553990594,0.43333333333333296,3647.598637015782,2011
29,10495,62.22010481181515,40.34773076923077,42.28538461538463,42.52926923076922,16.550653846153832,20.710807692307707,20.218884615384617,0.016717415396124126,0.0247446236317046,0.00781773992930539,0.30930769230769234,0.2991153846153846,0.2915384615384614,2569.018760003766,2011
31,20605,70.46833292890075,39.947142857142865,40.13738095238095,40.230000000000004,18.195714285714285,22.000952380952384,20.840238095238103,0.02176774676061339,0.009152487748199038,0.004470122072638737,0.36119047619047623,0.422142857142857,0.4373809523809523,4195.548126614987,2011
47,34457,19.647676814580493,37.38291666666666,39.12819444444445,38.14458333333334,16.648333333333326,19.741111111111117,18.67388888888889,0.02718452379728357,0.004567976827577998,0.0034288262152889124,0.397638888888889,0.4404166666666665,0.4602777777777779,4108.641338832487,2011
69,1527,89.7184020956123,35.70357142857142,39.06035714285714,38.833035714285714,12.598035714285714,16.072678571428572,15.26053571428571,0.024839306043254003,0.004807616713353329,0.0034057627457918394,0.37892857142857156,0.34732142857142856,0.33446428571428566,3429.8859443139886,2011
77,30942,28.66653739254088,36.11232142857144,37.52892857142858,36.431785714285716,15.792499999999999,18.100000000000005,17.204285714285717,0.046459051159520946,0.004727599211037159,0.0029102256909633675,0.4591071428571428,0.4855357142857142,0.4928571428571429,4326.74815283935,2011
95,10341,29.977758437288465,32.395,34.54633333333334,33.94833333333333,14.776999999999996,16.907999999999994,15.916333333333334,0.05830131843686104,0.009476840651283661,0.005465921790649493,0.4689999999999999,0.425,0.41733333333333344,4937.122116149562,2011
99,9814,43.916853474628084,36.370784313725494,39.509411764705895,38.64509803921568,16.41941176470588,19.494313725490187,18.737843137254902,0.038905060184853416,0.004764204678524818,0.003329895004363997,0.4209803921568627,0.4219607843137257,0.4284313725490195,3966.2468078932097,2011
101,13051,17.086813271013714,33.29916666666667,34.091666666666676,34.60833333333333,18.255,20.0475,18.532500000000002,0.05271732760593295,0.0026109961327165365,0.001166459231171757,0.5304166666666666,0.59625,0.6083333333333333,5221.865435689895,2011
